GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zappos-json,com.zappos.json.annot,JsonEnum.EnumValue,0,24,0,0,0,2,0,1,0,1
zappos-json,com.zappos.json.util,Strings,94,187,17,19,23,37,13,14,2,7
zappos-json,com.zappos.json.util,ObjectArray,110,34,13,1,25,6,14,4,7,4
zappos-json,com.zappos.json.util,TypeImpl,80,35,17,5,15,9,13,3,2,3
zappos-json,com.zappos.json.util,JsonUtils,79,177,14,19,25,47,15,10,3,3
zappos-json,com.zappos.json.util,Reflections,140,111,37,13,37,28,28,10,5,8
zappos-json,com.zappos.json,JsonType,72,54,26,0,17,2,18,1,5,1
zappos-json,com.zappos.json,JsonConfig.WriterConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonReader,814,45,126,2,191,13,100,3,30,3
zappos-json,com.zappos.json,JsonConfig,3,0,0,0,1,0,1,0,1,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator.AttributeInfo,21,34,0,0,1,13,1,7,1,7
zappos-json,com.zappos.json,JsonWriter,391,70,37,3,91,19,31,5,12,4
zappos-json,com.zappos.json,JsonReaderInvoker,62,0,0,0,11,0,2,0,2,0
zappos-json,com.zappos.json,JsonException,18,5,0,0,8,2,4,1,4,1
zappos-json,com.zappos.json,ZapposJson,572,147,104,4,137,34,66,10,13,9
zappos-json,com.zappos.json,JsonConfig.ReaderConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonBeanAttribute,11,64,2,0,3,24,2,14,1,14
zappos-json,com.zappos.json,JsonWriterInvoker,60,0,0,0,14,0,2,0,2,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator,1499,42,135,1,236,12,77,3,9,3
zappos-json,com.zappos.json,JsonReaderCodeGenerator.TypeInfo,12,30,0,0,1,9,1,4,1,4
zappos-json,com.zappos.json,JsonBeanIntrospector,253,19,36,0,57,7,20,2,2,2
zappos-json,com.zappos.json,ZapposJson.ZapposJsonSingleton,0,27,0,0,0,4,0,3,0,3
zappos-json,com.zappos.json,JsonReaderCodeGenerator.PathAndCode,24,47,5,9,6,17,4,8,1,4
zappos-json,com.zappos.json,JsonWriterCodeGenerator,1208,20,56,0,203,6,37,2,9,2
zappos-json,com.zappos.json.wrapper,ArrayTypeWrapper,0,17,0,0,0,7,0,5,0,5
zappos-json,com.zappos.json.format,NoOpValueFormatter,10,10,0,0,2,3,2,3,2,3
zappos-json,com.zappos.json.format,BigDecimalFormatter,31,20,3,1,6,5,3,4,1,4
zappos-json,com.zappos.json.format,AbstractNumberFormatter,14,7,2,0,4,2,2,2,1,2
zappos-json,com.zappos.json.format,JavaTimeInstantFormatter,28,27,4,0,6,7,4,4,2,4
zappos-json,com.zappos.json.format,JavaTimestampFormatter,43,8,4,0,7,2,5,2,3,2
zappos-json,com.zappos.json.format,BigIntegerFormatter,33,16,3,1,6,4,4,3,2,3
zappos-json,com.zappos.json.format,JavaTimeLocalDateFormatter,8,33,0,0,1,8,1,5,1,5
zappos-json,com.zappos.json.format,JavaDateFormatter,35,12,4,0,6,3,4,3,2,3
zappos-json,com.zappos.json.format,AbstractValueFormatter,10,36,1,1,2,13,2,6,1,6
zappos-json,com.zappos.json.format,JavaSqlDateFormatter,24,33,1,3,3,6,3,5,2,4
